Dataset,Model,K,Score (Soft Avg) 1st,Score (Soft Avg) 2nd,Score (Soft Avg) 3rd,Score (Soft Avg Mean),Standard deviation (Soft),SEM (Soft),Score (Hard Avg) 1st,Score (Hard Avg) 2nd,Score (Hard Avg) 3rd,Score (Hard Avg Mean),Standard deviation (Hard),SEM (Hard),Score (BGE-m3) 1st,Score (BGE-m3) 2nd,Score (BGE-m3) 3rd,Score (BGE-m3 Avg mean),Standard deviation (BGE-m3),SEM (BGE-m3)
E2E-WTQ,gpt-4o,1,0.9247,0.7448,0.7573,0.8089333333333334,0.10045149741707851,0.057995699074251277,0.9247,0.7448,0.7573,0.8089333333333334,0.10045149741707851,0.057995699074251277,0.5262,0.4238,0.4309,0.4603,0.0572,0.033
E2E-WTQ,gpt-4o,5,0.9442,0.7531333333333333,0.7433666666666667,0.8135666666666667,0.1132371307380127,0.06537748791385248,0.9316666666666666,0.7336,0.7336333333333332,0.7996333333333333,0.11434422202766134,0.06601666736794862,0.7215,0.5681,0.5681,0.6192,0.0886,0.0511
E2E-WTQ,gpt-4o,10,0.9400333333333334,0.7503666666666667,0.7489333333333333,0.8131111111111111,0.10992020506477179,0.06346245998352486,0.9135333333333332,0.7210666666666666,0.7238333333333333,0.7861444444444444,0.11033068644022095,0.06369945151613776,0.778,0.6141,0.6164,0.6695,0.0939,0.0542
E2E-WTQ,gpt-4o,20,0.9232666666666667,0.7587,0.7489333333333333,0.8103000000000001,0.09795380430477306,0.056553655283508655,0.9023333333333333,0.7210333333333333,0.7127,0.7786888888888889,0.10716026592255448,0.06186900837681871,0.8193,0.6547,0.6472,0.7071,0.0973,0.0562
E2E-WTQ,gpt-4o,30,0.9232999999999999,0.7587333333333334,0.7601333333333334,0.8140555555555555,0.09461105369607434,0.05462371731974266,0.8884333333333334,0.7197,0.7210333333333333,0.7763888888888889,0.09703562537847943,0.056023544433248786,0.857,0.6943,0.6956,0.749,0.0936,0.054
E2E-WTQ,gpt-4o,40,0.9260666666666667,0.7462,0.7489666666666667,0.8070777777777778,0.10305668522890873,0.05949980495870099,0.8898,0.7154666666666666,0.7169,0.7740555555555555,0.10024019117063741,0.05787370135598706,0.8705,0.7,0.7013,0.7573,0.0981,0.0566
E2E-WTQ,gpt-4o,50,0.9344333333333333,0.7448,0.7448,0.8080111111111111,0.10948485604732602,0.0632111111111111,0.8800666666666667,0.7029333333333333,0.7015333333333333,0.761511111111111,0.10267450907997962,0.05927915545623891,0.8559,0.6836,0.6822,0.7406,0.0999,0.0577
E2E-WTQ,claude-haiku-4-5,1,0.954,0.7573,0.7657,0.8256666666666667,0.11121925792475568,0.06421246850192812,0.954,0.7573,0.7657,0.8256666666666667,0.11121925792475568,0.06421246850192812,0.5463,0.4336,0.4384,0.4728,0.0637,0.0368
E2E-WTQ,claude-haiku-4-5,5,0.9581666666666667,0.7503333333333333,0.7447666666666667,0.8177555555555557,0.12163143934459152,0.07022394424752156,0.9400333333333334,0.7071,0.7183,0.7884777777777777,0.13137037266756468,0.07584672002315992,0.7532,0.5666,0.5756,0.6318,0.1052,0.0608
E2E-WTQ,claude-haiku-4-5,10,0.9484,0.7419666666666668,0.7406,0.8103222222222223,0.11958081569165463,0.06904001612949183,0.9386333333333333,0.6987333333333333,0.6862,0.7745222222222222,0.14226248171497535,0.08213528211372524,0.8214,0.6115,0.6005,0.6778,0.1245,0.0719
E2E-WTQ,claude-haiku-4-5,20,0.9386333333333333,0.7266333333333334,0.7378,0.8010222222222222,0.11930543590732584,0.06888102553688022,0.9149333333333334,0.6862,0.6848,0.7619777777777778,0.1324652463157091,0.07647884561864474,0.8389,0.6292,0.6279,0.6987,0.1214,0.0701
E2E-WTQ,claude-haiku-4-5,30,0.9372333333333334,0.7266333333333334,0.7224666666666666,0.7954444444444445,0.1228104516604228,0.07090464732544463,0.8995666666666667,0.6638666666666667,0.6680666666666667,0.7438333333333333,0.13488537108720625,0.0778761053069411,0.8705,0.6424,0.6465,0.7198,0.1305,0.0754
E2E-WTQ,claude-haiku-4-5,40,0.9358333333333334,0.7168666666666667,0.7210666666666666,0.7912555555555555,0.12522563783175705,0.07229905571160752,0.894,0.6680333333333333,0.6527333333333334,0.7382555555555556,0.13509541621195548,0.07799737491625704,0.9019,0.6739,0.6584,0.7447,0.1363,0.0787
E2E-WTQ,claude-haiku-4-5,50,0.9372333333333334,0.7154666666666666,0.7168666666666667,0.7898555555555555,0.12763481906218635,0.07368999714352246,0.8926333333333334,0.6499333333333334,0.6653,0.7359555555555556,0.13590429775451604,0.0784643828925969,0.9133,0.665,0.6808,0.753,0.1391,0.0803
E2E-WTQ,gpt-oss-20b,1,0.9205,0.6904,0.5983,0.7364,0.1659524329439011,0.09581268183283463,0.9205,0.6904,0.5983,0.7364,0.1659524329439011,0.09581268183283463,0.5701,0.4276,0.3706,0.4561,0.1028,0.0593
E2E-WTQ,gpt-oss-20b,5,0.9149333333333334,0.7182666666666666,0.7154666666666666,0.7828888888888889,0.11436241288763321,0.06602716986585017,0.9009666666666667,0.6819999999999999,0.6374,0.7401222222222222,0.14106910179582732,0.08144628389615963,0.708,0.5359,0.5009,0.5816,0.1109,0.064
E2E-WTQ,gpt-oss-20b,10,0.9037666666666667,0.7140666666666666,0.7042999999999999,0.7740444444444444,0.11244882457432875,0.06492235913804571,0.8786666666666667,0.6555,0.6485333333333333,0.7275666666666667,0.13090279260241594,0.0755767625466786,0.7882,0.588,0.5817,0.6527,0.1175,0.0678
E2E-WTQ,gpt-oss-20b,20,0.8940333333333333,0.6917666666666666,0.6861666666666667,0.7573222222222222,0.11842839999732296,0.0683746686181511,0.8814333333333334,0.6192666666666667,0.6401666666666667,0.7136222222222223,0.14570390955379084,0.08412219140286203,0.8166,0.5737,0.5931,0.6611,0.1349,0.0779
E2E-WTQ,gpt-oss-20b,30,0.8967666666666667,0.6889666666666666,0.6806,0.7554444444444445,0.12246010839513478,0.07070237654692182,0.8661,0.6234333333333334,0.629,0.7061777777777779,0.13852467222417386,0.07997725679803146,0.8261,0.5946,0.6,0.6736,0.1321,0.0763
E2E-WTQ,gpt-oss-20b,40,0.8870333333333335,0.6485333333333333,0.6443333333333333,0.7266333333333334,0.1389263473931422,0.08020916406496212,0.8591666666666667,0.5997333333333333,0.5899666666666666,0.6829555555555555,0.15268141243682454,0.08815065457065292,0.8422,0.5878,0.5783,0.6695,0.1497,0.0864
E2E-WTQ,gpt-oss-20b,50,0.8995666666666667,0.6485666666666666,0.6443666666666666,0.7308333333333333,0.14614244193023926,0.08437537818845289,0.8633333333333333,0.5801999999999999,0.5899333333333333,0.6778222222222222,0.1607310290631641,0.09279810289674337,0.8474,0.5695,0.579,0.6653,0.1578,0.0911
E2E-WTQ,qwen3-32b,1,0.9498,0.7364,0.7406,0.8089333333333334,0.1220121851838304,0.07044376796029896,0.9498,0.7364,0.7406,0.8089333333333334,0.1220121851838304,0.07044376796029896,0.5502,0.4266,0.429,0.4686,0.0707,0.0408
E2E-WTQ,qwen3-32b,5,0.9302999999999999,0.7336,0.7405666666666667,0.8014888888888888,0.11160806588401374,0.06443694688186882,0.9009666666666667,0.7196666666666666,0.7085,0.7763777777777777,0.1080415060846388,0.062377792621618806,0.7332,0.5857,0.5765,0.6318,0.0879,0.0508
E2E-WTQ,qwen3-32b,10,0.8856333333333334,0.7378,0.7349666666666667,0.7861333333333334,0.08618117221553934,0.04975672297771914,0.8619,0.7113,0.7085333333333333,0.7605777777777778,0.08775852179787524,0.05066740618368692,0.7728,0.6378,0.6353,0.682,0.0787,0.0454
E2E-WTQ,qwen3-32b,20,0.7964000000000001,0.7350333333333333,0.7322333333333333,0.7545555555555555,0.036265384985522404,0.020937829783656773,0.7531333333333333,0.6876000000000001,0.6750333333333334,0.7052555555555555,0.04193675573386046,0.024212197211883918,0.7372,0.6731,0.6607,0.6903,0.041,0.0237
E2E-WTQ,qwen3-32b,30,0.6611,0.7085,0.7196666666666666,0.6964222222222222,0.031095307494027863,0.017952884152211177,0.6415666666666667,0.6568999999999999,0.6792333333333334,0.6592333333333333,0.01894143019356715,0.0109358398210925,0.672,0.688,0.7113,0.6904,0.0198,0.0114
