dataset,reader,K,condition,input_tokens_display,output_tokens_display,cps_display,source,provenance_class
E2E-WTQ,gpt-4o,1,soft,696,84,0.0032,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,1,hard,696,84,0.0032,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,soft,"4,118",95,0.0138,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,hard,"4,287",142,0.0154,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,soft,"11,931",116,0.0381,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,hard,"12,177",177,0.0415,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,50,soft,"19,693",120,0.0624,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,50,hard,"20,095",181,0.0683,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,1,soft,689,181,0.0019,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,1,hard,689,181,0.0019,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,10,soft,"3,694",119,0.0053,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,10,hard,"4,003",125,0.0060,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,30,soft,"10,446",132,0.0140,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,30,hard,"11,176",140,0.0160,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,50,soft,"17,186",139,0.0226,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,claude-haiku-4-5,50,hard,"18,382",149,0.0260,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,soft,655,439,0.0001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,1,hard,655,439,0.0001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,soft,"4,218",306,0.0001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,10,hard,"4,349",396,0.0002,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,soft,"11,996",371,0.0004,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,30,hard,"12,242",508,0.0004,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,soft,"19,749",213,0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-oss-20b,50,hard,"20,165",253,0.0006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,soft,759,543,0.0007,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,1,hard,759,543,0.0007,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,qwen3-32b,10,soft,"4,581",685,0.0022,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
