dataset,reader,K,condition,score_display,input_tokens_display,output_tokens_display,published_cps,publication_precision_decimals,source,provenance_class
E2E-WTQ,gpt-4o,1,soft,0.8089333333333334,696,84,0.0031893851986154603,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,1,hard,0.8089333333333334,696,84,0.0031893851986154603,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,1,bge_m3,0.4603,1166,49,0.0073963,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,soft,0.8135666666666667,2224,78,0.007792846314581882,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,hard,0.7996333333333333,2319,114,0.00867585143190629,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,bge_m3,0.6192,6253,89,0.0266881,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,soft,0.8131111111111111,4118,95,0.01382959825088822,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,hard,0.7861444444444444,4287,142,0.015439274659731743,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,bge_m3,0.6695,12363,106,0.0477503,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,soft,0.8103000000000001,8046,108,0.026156978896704923,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,hard,0.7786888888888889,8273,167,0.028705302360092465,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,bge_m3,0.7071,24123,129,0.0871131,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,soft,0.8140555555555555,11931,116,0.0380655838394868,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,hard,0.7763888888888889,12177,177,0.04149016100178891,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,bge_m3,0.749,35243,137,0.119462,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,40,soft,0.8070777777777778,15799,119,0.0504133568291642,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
