dataset,reader,K,condition,input_rate_usd_per_1m,output_rate_usd_per_1m,recomputed_average_cost_usd,recomputed_cps_point_usd,recomputed_cps_low_from_display_rounding,recomputed_cps_high_from_display_rounding,published_cps,published_cps_4dp,matches_camera_ready_4dp
E2E-WTQ,gpt-4o,1,soft,2.50,10.00,0.002580000000,0.003189385199,0.003181658975,0.003197111422,0.0031893851986154603,0.0032,true
E2E-WTQ,gpt-4o,1,hard,2.50,10.00,0.002580000000,0.003189385199,0.003181658975,0.003197111422,0.0031893851986154603,0.0032,true
E2E-WTQ,gpt-4o,1,bge_m3,2.50,10.00,0.003405000000,0.007397349555,0.007382969480,0.007411732754,0.0073963,0.0074,true
E2E-WTQ,gpt-4o,5,soft,2.50,10.00,0.006340000000,0.007792846315,0.007785164092,0.007800528537,0.007792846314581882,0.0078,true
E2E-WTQ,gpt-4o,5,hard,2.50,10.00,0.006937500000,0.008675851432,0.008668035350,0.008683667514,0.00867585143190629,0.0087,true
E2E-WTQ,gpt-4o,5,bge_m3,2.50,10.00,0.016522500000,0.026683624031,0.026671376665,0.026695873375,0.0266881,0.0267,true
E2E-WTQ,gpt-4o,10,soft,2.50,10.00,0.011245000000,0.013829598251,0.013821911725,0.013837284777,0.01382959825088822,0.0138,true
E2E-WTQ,gpt-4o,10,hard,2.50,10.00,0.012137500000,0.015439274660,0.015431324467,0.015447224853,0.015439274659731743,0.0154,true
E2E-WTQ,gpt-4o,10,bge_m3,2.50,10.00,0.031967500000,0.047748319642,0.047735419311,0.047761221899,0.0477503,0.0478,true
E2E-WTQ,gpt-4o,20,soft,2.50,10.00,0.021195000000,0.026156978897,0.026149265704,0.026164692089,0.026156978896704923,0.0262,true
E2E-WTQ,gpt-4o,20,hard,2.50,10.00,0.022352500000,0.028705302360,0.028697276048,0.028713328672,0.028705302360092465,0.0287,true
E2E-WTQ,gpt-4o,20,bge_m3,2.50,10.00,0.061597500000,0.087112855325,0.087097857597,0.087127855173,0.0871131,0.0871,true
E2E-WTQ,gpt-4o,30,soft,2.50,10.00,0.030987500000,0.038065583839,0.038057906231,0.038073261448,0.0380655838394868,0.0381,true
E2E-WTQ,gpt-4o,30,hard,2.50,10.00,0.032212500000,0.041490161002,0.041482110912,0.041498211091,0.04149016100178891,0.0415,true
E2E-WTQ,gpt-4o,30,bge_m3,2.50,10.00,0.089477500000,0.119462616822,0.119374583055,0.119550768203,0.119462,0.1195,true
E2E-WTQ,gpt-4o,40,soft,2.50,10.00,0.040687500000,0.050413356829,0.050405612842,0.050421100816,0.0504133568291642,0.0504,true
E2E-WTQ,gpt-4o,40,hard,2.50,10.00,0.042232500000,0.054560037321,0.054551962966,0.054568111677,0.054560037321467025,0.0546,true
E2E-WTQ,gpt-4o,40,bge_m3,2.50,10.00,0.117352500000,0.154961706061,0.154943223080,0.154980191482,0.1549578,0.1550,true
E2E-WTQ,gpt-4o,50,soft,2.50,10.00,0.050432500000,0.062415602096,0.062407867054,0.062423337138,0.06241560209568075,0.0624,true
