dataset,model,target_k,negative,total,both_success_count,both_success_pct,both_fail_count,both_fail_pct,perfect_to_fail_count,perfect_to_fail_pct,perfect_from_fail_count,perfect_from_fail_pct
e2ewtq,claude-haiku-4-5,5,hard,717,506,70.57,159,22.18,43,6,9,1.26
e2ewtq,claude-haiku-4-5,5,soft,717,528,73.64,162,22.59,21,2.93,6,0.84
e2ewtq,claude-haiku-4-5,10,hard,717,484,67.5,160,22.32,65,9.07,8,1.12
e2ewtq,claude-haiku-4-5,10,soft,717,525,73.22,162,22.59,24,3.35,6,0.84
e2ewtq,claude-haiku-4-5,50,hard,717,466,64.99,157,21.9,83,11.58,11,1.53
e2ewtq,claude-haiku-4-5,50,soft,717,506,70.57,160,22.32,43,6,8,1.12
e2ewtq,gpt-4o,5,hard,717,513,71.55,161,22.45,30,4.18,13,1.81
e2ewtq,gpt-4o,5,soft,717,524,73.08,165,23.01,19,2.65,9,1.26
e2ewtq,gpt-4o,10,hard,717,499,69.6,154,21.48,44,6.14,20,2.79
e2ewtq,gpt-4o,10,soft,717,524,73.08,161,22.45,19,2.65,13,1.81
e2ewtq,gpt-4o,50,hard,717,477,66.53,148,20.64,66,9.21,26,3.63
e2ewtq,gpt-4o,50,soft,717,515,71.83,155,21.62,28,3.91,19,2.65
e2ewtq,gpt-oss-20b,5,hard,717,367,51.19,198,27.62,62,8.65,90,12.55
e2ewtq,gpt-oss-20b,5,soft,717,412,57.46,187,26.08,17,2.37,101,14.09
e2ewtq,gpt-oss-20b,10,hard,717,366,51.05,189,26.36,63,8.79,99,13.81
e2ewtq,gpt-oss-20b,10,soft,717,407,56.76,190,26.5,22,3.07,98,13.67
e2ewtq,gpt-oss-20b,50,hard,717,331,46.16,196,27.34,98,13.67,92,12.83
e2ewtq,gpt-oss-20b,50,soft,717,369,51.46,195,27.2,60,8.37,93,12.97
e2ewtq,qwen3-32b,5,hard,717,487,67.92,165,23.01,44,6.14,21,2.93
e2ewtq,qwen3-32b,5,soft,717,515,71.83,170,23.71,16,2.23,16,2.23
e2ewtq,qwen3-32b,10,hard,717,486,67.78,164,22.87,45,6.28,22,3.07
e2ewtq,qwen3-32b,10,soft,717,512,71.41,171,23.85,19,2.65,15,2.09
e2ewtq,qwen3-32b,50,hard,717,427,59.55,167,23.29,104,14.5,19,2.65
e2ewtq,qwen3-32b,50,soft,717,479,66.81,173,24.13,52,7.25,13,1.81
feta,claude-haiku-4-5,5,hard,6000,4160,69.33,539,8.98,1147,19.12,154,2.57
feta,claude-haiku-4-5,5,soft,6000,4783,79.72,532,8.87,524,8.73,161,2.68
feta,claude-haiku-4-5,10,hard,6000,3918,65.3,547,9.12,1389,23.15,146,2.43
feta,claude-haiku-4-5,10,soft,6000,4555,75.92,535,8.92,752,12.53,158,2.63
feta,claude-haiku-4-5,50,hard,6000,3571,59.52,524,8.73,1736,28.93,169,2.82
feta,claude-haiku-4-5,50,soft,6000,4113,68.55,507,8.45,1194,19.9,186,3.1
feta,gpt-4o,5,hard,6000,3957,65.95,1026,17.1,684,11.4,333,5.55
feta,gpt-4o,5,soft,6000,4382,73.03,1047,17.45,259,4.32,312,5.2
feta,gpt-4o,10,hard,6000,3801,63.35,1028,17.13,840,14,331,5.52
feta,gpt-4o,10,soft,6000,4350,72.5,1011,16.85,291,4.85,348,5.8
feta,gpt-4o,50,hard,6000,3604,60.07,976,16.27,1037,17.28,383,6.38
feta,gpt-4o,50,soft,6000,4164,69.4,939,15.65,477,7.95,420,7
feta,gpt-oss-20b,5,hard,6000,2759,45.98,1479,24.65,1312,21.87,450,7.5
feta,gpt-oss-20b,5,soft,6000,3366,56.1,1341,22.35,705,11.75,588,9.8
feta,gpt-oss-20b,10,hard,6000,2613,43.55,1525,25.42,1458,24.3,404,6.73
feta,gpt-oss-20b,10,soft,6000,3233,53.88,1373,22.88,838,13.97,556,9.27
feta,gpt-oss-20b,50,hard,6000,2511,41.85,1512,25.2,1560,26,417,6.95
feta,gpt-oss-20b,50,soft,6000,3081,51.35,1359,22.65,990,16.5,570,9.5
feta,qwen3-32b,5,hard,6000,4220,70.33,598,9.97,970,16.17,212,3.53
feta,qwen3-32b,5,soft,6000,4785,79.75,567,9.45,405,6.75,243,4.05
feta,qwen3-32b,10,hard,6000,3994,66.57,595,9.92,1196,19.93,215,3.58
feta,qwen3-32b,10,soft,6000,4741,79.02,575,9.58,449,7.48,235,3.92
feta,qwen3-32b,50,hard,6000,3469,57.82,639,10.65,1721,28.68,171,2.85
feta,qwen3-32b,50,soft,6000,4183,69.72,575,9.58,1007,16.78,235,3.92
ottqa,claude-haiku-4-5,5,hard,6642,1950,29.36,3932,59.2,435,6.55,325,4.89
ottqa,claude-haiku-4-5,5,soft,6642,1939,29.19,3947,59.42,446,6.71,310,4.67
ottqa,claude-haiku-4-5,20,hard,6642,1935,29.13,3838,57.78,450,6.78,419,6.31
ottqa,claude-haiku-4-5,20,soft,6642,1990,29.96,3879,58.4,395,5.95,378,5.69
ottqa,claude-haiku-4-5,50,hard,6642,1936,29.15,3831,57.68,449,6.76,426,6.41
ottqa,claude-haiku-4-5,50,soft,6642,1985,29.89,3817,57.47,400,6.02,440,6.62
ottqa,gpt-4o,5,hard,6642,2138,32.19,3542,53.33,535,8.05,427,6.43
ottqa,gpt-4o,5,soft,6642,2143,32.26,3615,54.43,530,7.98,354,5.33
ottqa,gpt-4o,20,hard,6642,2044,30.77,3483,52.44,629,9.47,486,7.32
ottqa,gpt-4o,20,soft,6642,2000,30.11,3606,54.29,673,10.13,363,5.47
ottqa,gpt-4o,50,hard,6642,2026,30.5,3456,52.03,647,9.74,513,7.72
ottqa,gpt-4o,50,soft,6642,1978,29.78,3560,53.6,695,10.46,409,6.16
ottqa,gpt-oss-20b,5,hard,6642,1671,25.16,4063,61.17,510,7.68,398,5.99
ottqa,gpt-oss-20b,5,soft,6642,1637,24.65,4058,61.1,544,8.19,403,6.07
ottqa,gpt-oss-20b,20,hard,6642,1537,23.14,4114,61.94,644,9.7,347,5.22
ottqa,gpt-oss-20b,20,soft,6642,1598,24.06,4081,61.44,583,8.78,380,5.72
ottqa,gpt-oss-20b,50,hard,6642,1621,24.41,4040,60.83,560,8.43,421,6.34
ottqa,gpt-oss-20b,50,soft,6642,1658,24.96,4042,60.86,523,7.87,419,6.31
ottqa,qwen3-32b,5,hard,6642,1859,27.99,3952,59.5,469,7.06,362,5.45
ottqa,qwen3-32b,5,soft,6642,1862,28.03,3964,59.68,466,7.02,350,5.27
ottqa,qwen3-32b,20,hard,6642,1805,27.18,3941,59.33,523,7.87,373,5.62
ottqa,qwen3-32b,20,soft,6642,1793,26.99,3946,59.41,535,8.05,368,5.54
ottqa,qwen3-32b,50,hard,6642,1764,26.56,3937,59.27,564,8.49,377,5.68
ottqa,qwen3-32b,50,soft,6642,1785,26.87,3937,59.27,543,8.18,377,5.68
