dataset,reader,condition,Kc
E2E-WTQ,claude-haiku-4-5,soft,>=50
E2E-WTQ,claude-haiku-4-5,hard,30
E2E-WTQ,gpt-4o,soft,>=50
E2E-WTQ,gpt-4o,hard,>=50
E2E-WTQ,gpt-oss-20b,soft,>=50
E2E-WTQ,gpt-oss-20b,hard,>=50
E2E-WTQ,qwen3-32b,soft,20
E2E-WTQ,qwen3-32b,hard,10
FeTaQA,claude-haiku-4-5,soft,5
FeTaQA,claude-haiku-4-5,hard,1
FeTaQA,gpt-4o,soft,>=50
FeTaQA,gpt-4o,hard,5
FeTaQA,gpt-oss-20b,soft,>=50
FeTaQA,gpt-oss-20b,hard,1
FeTaQA,qwen3-32b,soft,20
FeTaQA,qwen3-32b,hard,1
OTTQA,claude-haiku-4-5,soft,>=50
OTTQA,claude-haiku-4-5,hard,>=50
OTTQA,gpt-4o,soft,40
OTTQA,gpt-4o,hard,>=50
OTTQA,gpt-oss-20b,soft,>=50
OTTQA,gpt-oss-20b,hard,>=50
OTTQA,qwen3-32b,soft,20
OTTQA,qwen3-32b,hard,>=50
