dataset,reader,K,condition,score,nrr_calculated,nrr_frozen
E2E-WTQ,claude-haiku-4-5,1,soft,0.8256666666666667,1.00000000,1.0
E2E-WTQ,claude-haiku-4-5,5,soft,0.8177555555555557,0.99041852,0.990418517023281
E2E-WTQ,claude-haiku-4-5,10,soft,0.8103222222222223,0.98141569,0.9814156910240883
E2E-WTQ,claude-haiku-4-5,20,soft,0.8010222222222222,0.97015207,0.9701520656708383
E2E-WTQ,claude-haiku-4-5,30,soft,0.7954444444444445,0.96339658,0.963396581886691
E2E-WTQ,claude-haiku-4-5,40,soft,0.7912555555555555,0.95832324,0.958323240479074
E2E-WTQ,claude-haiku-4-5,50,soft,0.7898555555555555,0.95662764,0.9566276409635311
E2E-WTQ,claude-haiku-4-5,1,hard,0.8256666666666667,1.00000000,1.0
E2E-WTQ,claude-haiku-4-5,5,hard,0.7884777777777777,0.95495896,0.9549589557260126
E2E-WTQ,claude-haiku-4-5,10,hard,0.7745222222222222,0.93805679,0.9380567891266317
E2E-WTQ,claude-haiku-4-5,20,hard,0.7619777777777778,0.92286368,0.9228636791818059
E2E-WTQ,claude-haiku-4-5,30,hard,0.7438333333333333,0.90088817,0.9008881711748082
E2E-WTQ,claude-haiku-4-5,40,hard,0.7382555555555556,0.89413269,0.8941326873906608
E2E-WTQ,claude-haiku-4-5,50,hard,0.7359555555555556,0.89134706,0.8913470596151258
E2E-WTQ,claude-haiku-4-5,1,bge_m3,0.4728,1.00000000,1
E2E-WTQ,claude-haiku-4-5,5,bge_m3,0.6318,1.33629442,1.3363
E2E-WTQ,claude-haiku-4-5,10,bge_m3,0.6778,1.43358714,1.4336
E2E-WTQ,claude-haiku-4-5,20,bge_m3,0.6987,1.47779188,1.4778
E2E-WTQ,claude-haiku-4-5,30,bge_m3,0.7197,1.52220812,1.5222
E2E-WTQ,claude-haiku-4-5,40,bge_m3,0.7448,1.57529611,1.5753
E2E-WTQ,claude-haiku-4-5,50,bge_m3,0.7531,1.59285110,1.5929
E2E-WTQ,gpt-4o,1,soft,0.8089333333333334,1.00000000,1.0
E2E-WTQ,gpt-4o,5,soft,0.8135666666666667,1.00572771,1.0057277072688313
E2E-WTQ,gpt-4o,10,soft,0.8131111111111111,1.00516455,1.0051645513982748
E2E-WTQ,gpt-4o,20,soft,0.8103000000000001,1.00168947,1.0016894676116699
E2E-WTQ,gpt-4o,30,soft,0.8140555555555555,1.00633207,1.0063320696665017
E2E-WTQ,gpt-4o,40,soft,0.8070777777777778,0.99770617,0.9977061699906598
E2E-WTQ,gpt-4o,50,soft,0.8080111111111111,0.99885995,0.9988599527498488
E2E-WTQ,gpt-4o,1,hard,0.8089333333333334,1.00000000,1.0
E2E-WTQ,gpt-4o,5,hard,0.7996333333333333,0.98850338,0.9885033789352232
E2E-WTQ,gpt-4o,10,hard,0.7861444444444444,0.97182847,0.9718284709631339
E2E-WTQ,gpt-4o,20,hard,0.7786888888888889,0.96261194,0.9626119443986594
E2E-WTQ,gpt-4o,30,hard,0.7763888888888889,0.95976869,0.9597686940278006
E2E-WTQ,gpt-4o,40,hard,0.7740555555555555,0.95688424,0.9568842371298278
E2E-WTQ,gpt-4o,50,hard,0.761511111111111,0.94137685,0.9413768474259654
E2E-WTQ,gpt-4o,1,bge_m3,0.4603,1.00000000,1
E2E-WTQ,gpt-4o,5,bge_m3,0.6192,1.34520965,1.3452
E2E-WTQ,gpt-4o,10,bge_m3,0.6695,1.45448620,1.4545
E2E-WTQ,gpt-4o,20,bge_m3,0.7071,1.53617206,1.5362
E2E-WTQ,gpt-4o,30,bge_m3,0.749,1.62719965,1.6272
E2E-WTQ,gpt-4o,40,bge_m3,0.7573,1.64523137,1.6452
E2E-WTQ,gpt-4o,50,bge_m3,0.7406,1.60895068,1.609
E2E-WTQ,gpt-oss-20b,1,soft,0.7364,1.00000000,1.0
E2E-WTQ,gpt-oss-20b,5,soft,0.7828888888888889,1.06312994,1.0631299414569375
E2E-WTQ,gpt-oss-20b,10,soft,0.7740444444444444,1.05111956,1.051119560625264
E2E-WTQ,gpt-oss-20b,20,soft,0.7573222222222222,1.02841149,1.028411491339248
E2E-WTQ,gpt-oss-20b,30,soft,0.7554444444444445,1.02586155,1.025861548675237
E2E-WTQ,gpt-oss-20b,40,soft,0.7266333333333334,0.98673728,0.9867372804635162
E2E-WTQ,gpt-oss-20b,50,soft,0.7308333333333333,0.99244070,0.9924407025167481
E2E-WTQ,gpt-oss-20b,1,hard,0.7364,1.00000000,1.0
E2E-WTQ,gpt-oss-20b,5,hard,0.7401222222222222,1.00505462,1.0050546200736314
