Dataset,Model,K,Start(soft),Middle(soft),End(soft),Middle Deficit(soft),Absolute Variance(soft),Start(hard),Middle(hard),End(hard),Middle Deficit(hard),Absolute Variance(hard)
E2E-WTQ,gpt-4o,30,0.8229,0.8173,0.802,-0.0153,0.0081,0.8117,0.7601,0.7573,-0.0028,0.0235
E2E-WTQ,gpt-4o,40,0.8131,0.8075,0.8006,-0.007,0.0043,0.8117,0.7531,0.7573,0.0042,0.0251
E2E-WTQ,gpt-4o,50,0.8117,0.8117,0.8006,-0.0112,0.005,0.8173,0.7364,0.7308,-0.0056,0.0372
E2E-WTQ,claude-haiku-4-5,30,0.8159,0.7964,0.7741,-0.0223,0.0143,0.8117,0.7211,0.6987,-0.0223,0.0452
E2E-WTQ,claude-haiku-4-5,40,0.8229,0.7866,0.7643,-0.0223,0.0211,0.8103,0.7169,0.6876,-0.0293,0.0481
E2E-WTQ,claude-haiku-4-5,50,0.8229,0.7852,0.7615,-0.0237,0.022,0.8243,0.7085,0.6751,-0.0335,0.0589
E2E-WTQ,gpt-oss-20b,30,0.7768,0.7392,0.7503,0.0112,0.0143,0.7685,0.6723,0.6778,0.0055,0.0415
E2E-WTQ,gpt-oss-20b,40,0.781,0.689,0.7099,0.0209,0.0363,0.7629,0.636,0.65,0.014,0.0533
E2E-WTQ,gpt-oss-20b,50,0.749,0.7253,0.7183,-0.007,0.0121,0.7587,0.6444,0.6304,-0.014,0.0539
E2E-WTQ,qwen3-32b,30,0.7029,0.6778,0.7085,0.0251,0.0124,0.7016,0.6206,0.6555,0.0349,0.0282
E2E-WTQ,qwen3-32b,40,0.6443,0.6165,0.6513,0.0279,0.0139,0.643,0.5495,0.5914,0.0418,0.0322
E2E-WTQ,qwen3-32b,50,0.6123,0.5677,0.6137,0.0446,0.0201,0.5969,0.5021,0.5384,0.0363,0.0341
OTTQA,gpt-4o,30,0.393,0.3692,0.3673,-0.0019,0.011,0.404,0.3824,0.3732,-0.0091,0.0117
OTTQA,gpt-4o,40,0.4076,0.3728,0.3707,-0.0022,0.0159,0.4044,0.3781,0.3769,-0.0013,0.012
OTTQA,gpt-4o,50,0.3941,0.3683,0.3666,-0.0017,0.0118,0.4116,0.3743,0.3769,0.0026,0.016
OTTQA,claude-haiku-4-5,30,0.3717,0.3575,0.3592,0.0017,0.0059,0.364,0.3445,0.3414,-0.0031,0.0094
OTTQA,claude-haiku-4-5,40,0.3697,0.3578,0.357,-0.0008,0.0055,0.3691,0.3415,0.3367,-0.0048,0.0133
OTTQA,claude-haiku-4-5,50,0.3749,0.3584,0.351,-0.0074,0.009,0.3592,0.3361,0.3365,0.0004,0.0101
OTTQA,gpt-oss-20b,30,0.3112,0.3049,0.2916,-0.0132,0.0073,0.3106,0.2885,0.2876,-0.0009,0.01
OTTQA,gpt-oss-20b,40,0.3188,0.299,0.3011,0.0021,0.0083,0.3119,0.2771,0.2829,0.0058,0.0142
OTTQA,gpt-oss-20b,50,0.3212,0.2945,0.3009,0.0064,0.0104,0.315,0.2762,0.2839,0.0077,0.0155
OTTQA,qwen3-32b,30,0.2659,0.3197,0.2708,-0.0538,0.0228,0.3806,0.341,0.3577,0.0167,0.0139
OTTQA,qwen3-32b,40,0.2719,0.2473,0.2942,0.0246,0.0159,0.3723,0.3283,0.3187,-0.0096,0.0217
OTTQA,qwen3-32b,50,0.3037,0.2505,0.2882,0.0377,0.0202,0.3445,0.3162,0.3306,0.0144,0.0095
FeTaQA,gpt-4o,30,0.82,0.7617,0.7364,-0.0254,0.0315,0.8046,0.6016,0.5899,-0.0117,0.0928
FeTaQA,gpt-4o,40,0.8289,0.755,0.7183,-0.0367,0.041,0.8085,0.587,0.5718,-0.0152,0.1018
FeTaQA,gpt-4o,50,0.8348,0.7412,0.7134,-0.0278,0.0478,0.8127,0.5958,0.5781,-0.0176,0.1003
FeTaQA,claude-haiku-4-5,30,0.8873,0.6543,0.6679,0.0137,0.1005,0.8634,0.5344,0.5215,-0.0129,0.1491
FeTaQA,claude-haiku-4-5,40,0.9097,0.6169,0.6633,0.0464,0.1198,0.8765,0.5121,0.5258,0.0137,0.1589
FeTaQA,claude-haiku-4-5,50,0.9076,0.6061,0.6722,0.0661,0.1193,0.8782,0.5115,0.5225,0.011,0.1605
FeTaQA,gpt-oss-20b,30,0.6904,0.6049,0.5907,-0.0142,0.0412,0.6214,0.4349,0.4316,-0.0033,0.0836
FeTaQA,gpt-oss-20b,40,0.6979,0.5964,0.5672,-0.0292,0.0516,0.6222,0.419,0.4126,-0.0064,0.0918
FeTaQA,gpt-oss-20b,50,0.6884,0.5923,0.5593,-0.033,0.05,0.6355,0.4151,0.4195,0.0043,0.097
FeTaQA,qwen3-32b,30,0.844,0.7454,0.7202,-0.0252,0.0494,0.7939,0.5432,0.5668,0.0237,0.1062
FeTaQA,qwen3-32b,40,0.851,0.7209,0.7052,-0.0157,0.0613,0.7743,0.5382,0.5349,-0.0033,0.1057
FeTaQA,qwen3-32b,50,0.8483,0.6951,0.6767,-0.0184,0.0722,0.7798,0.5047,0.5276,0.023,0.1172
