Dataset,Model,K,Score (Soft mean),NRR(soft),Score (Hard mean),NRR(hard),Score (Total Avg),NRR(total),Score (BGE-m3),NRR (BGE-m3)
E2E-WTQ,gpt-4o,1,0.8089333333333334,1.0,0.8089333333333334,1.0,0.8089,1,0.4603,1
E2E-WTQ,gpt-4o,5,0.8135666666666667,1.0057277072688313,0.7996333333333333,0.9885033789352232,0.8066,0.9971,0.6192,1.3452
E2E-WTQ,gpt-4o,10,0.8131111111111111,1.0051645513982748,0.7861444444444444,0.9718284709631339,0.7996,0.9885,0.6695,1.4545
E2E-WTQ,gpt-4o,20,0.8103000000000001,1.0016894676116699,0.7786888888888889,0.9626119443986594,0.7945,0.9822,0.7071,1.5362
E2E-WTQ,gpt-4o,30,0.8140555555555555,1.0063320696665017,0.7763888888888889,0.9597686940278006,0.7952,0.9831,0.749,1.6272
E2E-WTQ,gpt-4o,40,0.8070777777777778,0.9977061699906598,0.7740555555555555,0.9568842371298278,0.7906,0.9773,0.7573,1.6452
E2E-WTQ,gpt-4o,50,0.8080111111111111,0.9988599527498488,0.761511111111111,0.9413768474259654,0.7848,0.9701,0.7406,1.609
E2E-WTQ,claude-haiku-4-5,1,0.8256666666666667,1.0,0.8256666666666667,1.0,0.8257,1,0.4728,1
E2E-WTQ,claude-haiku-4-5,5,0.8177555555555557,0.990418517023281,0.7884777777777777,0.9549589557260126,0.8031,0.9727,0.6318,1.3363
E2E-WTQ,claude-haiku-4-5,10,0.8103222222222223,0.9814156910240883,0.7745222222222222,0.9380567891266317,0.7899,0.9566,0.6778,1.4336
E2E-WTQ,claude-haiku-4-5,20,0.8010222222222222,0.9701520656708383,0.7619777777777778,0.9228636791818059,0.7815,0.9465,0.6987,1.4778
E2E-WTQ,claude-haiku-4-5,30,0.7954444444444445,0.963396581886691,0.7438333333333333,0.9008881711748082,0.7696,0.9321,0.7197,1.5222
E2E-WTQ,claude-haiku-4-5,40,0.7912555555555555,0.958323240479074,0.7382555555555556,0.8941326873906608,0.7648,0.9262,0.7448,1.5753
E2E-WTQ,claude-haiku-4-5,50,0.7898555555555555,0.9566276409635311,0.7359555555555556,0.8913470596151258,0.7629,0.924,0.7531,1.5929
E2E-WTQ,gpt-oss-20b,1,0.7364,1.0,0.7364,1.0,0.7364,1,0.4561,1
E2E-WTQ,gpt-oss-20b,5,0.7828888888888889,1.0631299414569375,0.7401222222222222,1.0050546200736314,0.7615,1.0341,0.5816,1.2752
E2E-WTQ,gpt-oss-20b,10,0.7740444444444444,1.051119560625264,0.7275666666666667,0.9880047075864566,0.7508,1.0196,0.6527,1.431
E2E-WTQ,gpt-oss-20b,20,0.7573222222222222,1.028411491339248,0.7136222222222223,0.9690687428330014,0.7355,0.9987,0.6611,1.4495
E2E-WTQ,gpt-oss-20b,30,0.7554444444444445,1.025861548675237,0.7061777777777779,0.9589595026857385,0.7308,0.9924,0.6736,1.4769
E2E-WTQ,gpt-oss-20b,40,0.7266333333333334,0.9867372804635162,0.6829555555555555,0.92742470879353,0.7048,0.9571,0.6695,1.4679
E2E-WTQ,gpt-oss-20b,50,0.7308333333333333,0.9924407025167481,0.6778222222222222,0.9204538596173576,0.7043,0.9564,0.6653,1.4587
E2E-WTQ,qwen3-32b,1,0.8089333333333334,1.0,0.8089333333333334,1.0,0.8089,1,0.4686,1
E2E-WTQ,qwen3-32b,5,0.8014888888888888,0.9907972089445634,0.7763777777777777,0.9597549585187626,0.7889,0.9753,0.6318,1.3483
E2E-WTQ,qwen3-32b,10,0.7861333333333334,0.9718147354540959,0.7605777777777778,0.9402230646667765,0.7734,0.956,0.682,1.4554
E2E-WTQ,qwen3-32b,20,0.7545555555555555,0.9327784187681994,0.7052555555555555,0.8718339651667489,0.7299,0.9023,0.6904,1.4733
E2E-WTQ,qwen3-32b,30,0.6964222222222222,0.8609142354815668,0.6592333333333333,0.8149414867314982,0.6778,0.8379,0.6904,1.4733
E2E-WTQ,qwen3-32b,40,0.6373777777777778,0.7879237404538212,0.5946222222222223,0.7350695016757322,0.616,0.7615,0.6025,1.2857
E2E-WTQ,qwen3-32b,50,0.5978666666666667,0.7390802703148178,0.5458,0.6747156749629141,0.5718,0.7069,0.6987,1.491
OTTQA,gpt-4o,1,0.42519798327910535,1.0,0.42519798327910535,1.0,0.4252,1,0.3618,1
OTTQA,gpt-4o,5,0.4029295562122123,0.9476280981034763,0.4029934777551181,0.947778431701987,0.403,0.9477,0.3722,1.0287
OTTQA,gpt-4o,10,0.3893483236430879,0.9156871362381668,0.3910975564690342,0.9198010617381335,0.3902,0.9177,0.3749,1.0362
OTTQA,gpt-4o,20,0.37871887265230036,0.8906883088476563,0.39225715348076884,0.9225282548513083,0.3855,0.9066,0.3776,1.0437
OTTQA,gpt-4o,30,0.37650747964611136,0.885487453967925,0.3865491456818228,0.9091039019065315,0.3815,0.8973,0.3907,1.0799
OTTQA,gpt-4o,40,0.3837002633608479,0.9024037705959254,0.3864791306232345,0.908939237300062,0.3851,0.9057,0.3889,1.0749
OTTQA,gpt-4o,50,0.3763381598666397,0.8850892399920123,0.38761189960453435,0.9116033350282873,0.382,0.8983,0.4002,1.1061
OTTQA,claude-haiku-4-5,1,0.36274783398309635,1.0,0.36274783398309635,1.0,0.3627,1,0.336,1
OTTQA,claude-haiku-4-5,5,0.3417232273513971,0.9420407107580994,0.3471477682669663,0.956994737791165,0.3444,0.9495,0.3351,0.9973
OTTQA,claude-haiku-4-5,10,0.3516275134371354,0.969344212413742,0.34135643446435404,0.9410295596148505,0.3465,0.9552,0.3433,1.0217
OTTQA,claude-haiku-4-5,20,0.35852148266890754,0.9883490653333971,0.34861167832901496,0.9610303513080657,0.3536,0.9747,0.3559,1.0592
OTTQA,claude-haiku-4-5,30,0.3627821973748211,1.0000947307978312,0.3499611648472003,0.9647505293264084,0.3564,0.9824,0.3568,1.0619
OTTQA,claude-haiku-4-5,40,0.36147225505787217,0.9964835657012259,0.34908809837873694,0.962343715593362,0.3553,0.9794,0.3555,1.058
OTTQA,claude-haiku-4-5,50,0.36142755781466507,0.9963603472033611,0.34394908169526356,0.9481768034796625,0.3527,0.9723,0.36,1.0714
OTTQA,gpt-oss-20b,1,0.323811948429118,1.0,0.323811948429118,1.0,0.3238,1,0.2733,1
OTTQA,gpt-oss-20b,5,0.3055002121186227,0.9434494730681512,0.2999621374858392,0.9263467235876274,0.3027,0.9349,0.2995,1.0959
OTTQA,gpt-oss-20b,10,0.31263979816088777,0.965498029574175,0.3010527266657907,0.929714694365859,0.3068,0.9476,0.2687,0.9832
OTTQA,gpt-oss-20b,20,0.29319412340858614,0.9054456601460645,0.2784050461379896,0.8597738517327508,0.2858,0.8826,0.2624,0.9601
OTTQA,gpt-oss-20b,30,0.3025802809242449,0.9344321060174817,0.295574050297696,0.9127953793292368,0.2991,0.9236,0.2999,1.0973
OTTQA,gpt-oss-20b,40,0.3063153023575798,0.9459666446639224,0.2906484147692911,0.8975839717443709,0.2985,0.9218,0.29,1.0611
OTTQA,gpt-oss-20b,50,0.30555240834006486,0.9436106660744481,0.2916877906025978,0.9007937848422165,0.2986,0.9222,0.2669,0.9766
OTTQA,qwen3-32b,1,0.3493339783637636,1.0,0.3493339783637636,1.0,0.351,1,0.3252,1
OTTQA,qwen3-32b,5,0.3596412745931144,1.0295055644962705,0.3561038708239939,1.0193794273661543,0.3612,1.0291,0.3261,1.0028
OTTQA,qwen3-32b,10,0.34306958763339024,0.9820676168985479,0.3773920825155936,1.0803188521289873,0.3552,1.012,0.3369,1.036
OTTQA,qwen3-32b,20,0.36705382629859445,1.0507246618775201,0.36986078827170354,1.058759843528777,0.3568,1.0165,0.3356,1.032
OTTQA,qwen3-32b,30,0.28546222865918786,0.817161359442494,0.3597413151749667,1.029791939678899,0.3226,0.9191,0.3365,1.0347
OTTQA,qwen3-32b,40,0.2711290993852254,0.7761314849908387,0.3397528505741287,0.9725731581150172,0.3054,0.8702,0.3315,1.0194
OTTQA,qwen3-32b,50,0.2808001253394061,0.8038156684747317,0.33039129380756044,0.9457748580744183,0.3056,0.8707,0.3189,0.9806
FeTaQA,gpt-4o,1,0.7751878295347397,1.0,0.7751878295347397,1.0,0.7752,1,0.3595,1
FeTaQA,gpt-4o,5,0.7814775290248961,1.008113774817558,0.7106620405990475,0.9167610913416687,0.7461,0.9624,0.4675,1.3004
FeTaQA,gpt-4o,10,0.7817017882278922,1.0084030714169778,0.6877225453493963,0.8871689146128116,0.7347,0.9478,0.503,1.3992
FeTaQA,gpt-4o,20,0.7761844777997634,1.0012856861615356,0.6680567369363493,0.8617998264205341,0.7221,0.9315,0.542,1.5076
FeTaQA,gpt-4o,30,0.772720115289291,0.9968166241116945,0.6653724478377789,0.8583370668204751,0.719,0.9276,0.5605,1.5591
FeTaQA,gpt-4o,40,0.7674122313352297,0.9899694010880217,0.6557583431503511,0.8459347762772939,0.7116,0.918,0.5725,1.5925
FeTaQA,gpt-4o,50,0.7631101382843571,0.9844196583199306,0.6622014374333055,0.8542464319012237,0.7127,0.9193,0.584,1.6245
FeTaQA,claude-haiku-4-5,1,0.8859391970105253,1.0,0.8859391970105253,1.0,0.8859,1,0.3955,1
FeTaQA,claude-haiku-4-5,5,0.8295439989055203,0.9363441663995651,0.7254864429078299,0.8188896544547074,0.7775,0.8776,0.4835,1.2225
FeTaQA,claude-haiku-4-5,10,0.7880315980665124,0.8894872252244984,0.6756863654966424,0.762678034538543,0.7319,0.8261,0.497,1.2566
FeTaQA,claude-haiku-4-5,20,0.7465560683406594,0.8426719021574005,0.6498668323796725,0.7335343492787709,0.6982,0.7881,0.5335,1.3489
FeTaQA,claude-haiku-4-5,30,0.7365040800574753,0.8313257642767163,0.6397566945525066,0.7221225753542385,0.6881,0.7767,0.5355,1.354
FeTaQA,claude-haiku-4-5,40,0.7299451043515894,0.8239223490897395,0.6381505474880099,0.7203096438687411,0.684,0.7721,0.552,1.3957
FeTaQA,claude-haiku-4-5,50,0.7286433356266939,0.8224529833259396,0.6373748125872895,0.71943403648695,0.683,0.7709,0.544,1.3755
FeTaQA,gpt-oss-20b,1,0.6774945329213855,1.0,0.6774945329213855,1.0,0.6775,1,0.308,1
FeTaQA,gpt-oss-20b,5,0.6610159325145142,0.9756771462998899,0.5368271398487389,0.7923711760948345,0.5989,0.884,0.358,1.1623
FeTaQA,gpt-oss-20b,10,0.6402913731280525,0.9450871439022372,0.5043252206535237,0.7443974765063441,0.5723,0.8447,0.3855,1.2516
FeTaQA,gpt-oss-20b,20,0.6330058621868967,0.9343335354417522,0.4957720005471144,0.7317726955069649,0.5644,0.833,0.386,1.2532
FeTaQA,gpt-oss-20b,30,0.6286944352106084,0.9279697542349914,0.4959805987779471,0.7320805920591823,0.5623,0.83,0.421,1.3669
FeTaQA,gpt-oss-20b,40,0.620522760188953,0.9159081439568704,0.48459627143854916,0.7152770212756541,0.5526,0.8156,0.416,1.3506
FeTaQA,gpt-oss-20b,50,0.613336061891937,0.9053003855945606,0.4900396910039359,0.7233116537352172,0.5517,0.8143,0.4375,1.4205
FeTaQA,qwen3-32b,1,0.8666644479818357,1.0,0.8666644479818357,1.0,0.8667,1,0.3805,1
FeTaQA,qwen3-32b,5,0.8361413094622745,0.9647809038542666,0.7411675551854735,0.8551955222247763,0.7887,0.91,0.4795,1.2602
FeTaQA,qwen3-32b,10,0.8253564757982449,0.9523368331540737,0.7004531805011499,0.8082172773237267,0.7629,0.8803,0.5165,1.3574
FeTaQA,qwen3-32b,20,0.8004521240406214,0.9236009691000939,0.6577498190222884,0.7589440417845247,0.7291,0.8413,0.529,1.3903
FeTaQA,qwen3-32b,30,0.7698598541950749,0.8883021058355566,0.6346119767607673,0.7322464631364087,0.7022,0.8103,0.5395,1.4179
FeTaQA,qwen3-32b,40,0.7590094493893248,0.8757823759319971,0.6158067257317211,0.710548041016017,0.6874,0.7932,0.5385,1.4152
FeTaQA,qwen3-32b,50,0.7400274624087414,0.8538800271916214,0.6040437992690295,0.6969753988128166,0.672,0.7754,0.5435,1.4284
