dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
E2E-WTQ,gpt-4o,1,hard,0.809,0.100,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,1,soft,0.809,0.100,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,1,bge_m3,0.460,0.057,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,hard,0.800,0.114,0.989,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,soft,0.814,0.113,1.006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,5,bge_m3,0.619,0.113,1.345,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,hard,0.786,0.110,0.972,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,soft,0.813,0.110,1.005,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,10,bge_m3,0.669,0.094,1.454,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,hard,0.779,0.107,0.963,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,soft,0.810,0.098,1.002,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,20,bge_m3,0.707,0.108,1.536,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,hard,0.776,0.097,0.960,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,soft,0.814,0.095,1.006,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,30,bge_m3,0.749,0.094,1.627,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,40,hard,0.774,0.100,0.957,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,40,soft,0.807,0.103,0.998,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,40,bge_m3,0.757,0.101,1.645,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,50,hard,0.762,0.103,0.941,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
E2E-WTQ,gpt-4o,50,soft,0.808,0.109,0.999,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
