Dataset,Model,K,Score (Soft mean),Input Tokens (Soft Rotation Avg),Output Tokens (Soft Rotation Avg),Soft Avg_Cost($),Score (Hard mean),Input Tokens (Hard Rotation Avg),Output Tokens (Hard Rotation Avg),Hard Avg_Cost($),CpS(Soft),CpS(Hard),CpS(Avg),Score (BGE-m3),Input Tokens (BGE-m3),Output Tokens (BGE-m3),BGE-m3 Avg_Cost($),CpS(BGE-m3)
E2E-WTQ,gpt-4o,1,0.8089333333333334,696,84,0.00258,0.8089333333333334,696,84,0.00258,0.0031893851986154603,0.0031893851986154603,0.0031893851986154603,0.4603,1166,49,0.003405,0.0073963
E2E-WTQ,gpt-4o,5,0.8135666666666667,2224,78,0.00634,0.7996333333333333,2319,114,0.006937499999999999,0.007792846314581882,0.00867585143190629,0.008234348873244087,0.6192,6253,89,0.016525,0.0266881
E2E-WTQ,gpt-4o,10,0.8131111111111111,4118,95,0.011245,0.7861444444444444,4287,142,0.012137499999999999,0.01382959825088822,0.015439274659731743,0.014634436455309981,0.6695,12363,106,0.031969,0.0477503
E2E-WTQ,gpt-4o,20,0.8103000000000001,8046,108,0.021195000000000002,0.7786888888888889,8273,167,0.0223525,0.026156978896704923,0.028705302360092465,0.027431140628398694,0.7071,24123,129,0.061598,0.0871131
E2E-WTQ,gpt-4o,30,0.8140555555555555,11931,116,0.0309875,0.7763888888888889,12177,177,0.0322125,0.0380655838394868,0.04149016100178891,0.03977787242063785,0.749,35243,137,0.089477,0.119462
E2E-WTQ,gpt-4o,40,0.8070777777777778,15799,119,0.0406875,0.7740555555555555,16153,185,0.0422325,0.0504133568291642,0.054560037321467025,0.052486697075315614,0.7573,46397,136,0.11735,0.1549578
E2E-WTQ,gpt-4o,50,0.8080111111111111,19693,120,0.0504325,0.761511111111111,20095,181,0.0520475,0.06241560209568075,0.06834765670596475,0.06538162940082275,0.7406,56677,149,0.143186,0.1933382
E2E-WTQ,claude-haiku-4-5,1,0.8256666666666667,689,181,0.001594,0.8256666666666667,689,181,0.001594,0.0019305611626968106,0.0019305611626968106,0.0019305611626968106,0.4728,830,102,0.001338,0.002829
E2E-WTQ,claude-haiku-4-5,5,0.8177555555555557,2037,112,0.0025970000000000003,0.7884777777777777,2203,117,0.002788,0.0031757656458055927,0.003535927173315672,0.0033558464095606324,0.6318,4377,117,0.00496,0.0078503
E2E-WTQ,claude-haiku-4-5,10,0.8103222222222223,3694,119,0.004288999999999999,0.7745222222222222,4003,125,0.004627999999999999,0.005292956162843312,0.005975296598619937,0.005634126380731625,0.6778,8598,121,0.009204,0.013579
E2E-WTQ,claude-haiku-4-5,20,0.8010222222222222,7071,128,0.007711,0.7619777777777778,7641,135,0.008316,0.009626449536703103,0.010913704103356762,0.010270076820029932,0.6987,16587,117,0.017172,0.0245778
E2E-WTQ,claude-haiku-4-5,30,0.7954444444444445,10446,132,0.011106000000000001,0.7438333333333333,11176,140,0.011876,0.013962005866741166,0.01596594219135111,0.014963974029046138,0.7197,24231,120,0.024832,0.0345038
E2E-WTQ,claude-haiku-4-5,40,0.7912555555555555,13803,138,0.014492999999999999,0.7382555555555556,14790,146,0.015519999999999999,0.018316459073483775,0.021022530590129884,0.019669494831806827,0.7448,31817,120,0.032417,0.0435245
E2E-WTQ,claude-haiku-4-5,50,0.7898555555555555,17186,139,0.017881,0.7359555555555556,18382,149,0.019126999999999998,0.022638316429164265,0.025989341143788872,0.024313828786476567,0.7531,38865,121,0.03947,0.0524099
E2E-WTQ,gpt-oss-20b,1,0.7364,655,439,5.7e-05,0.7364,655,439,5.7e-05,7.740358500814775e-05,7.740358500814775e-05,7.740358500814775e-05,0.4561,1240,284,0.000053,0.0001167
E2E-WTQ,gpt-oss-20b,5,0.7828888888888889,2263,278,7.306e-05,0.7401222222222222,2336,339,8.062e-05,9.33210332103321e-05,0.00010892795484229331,0.00010112449402631271,0.5816,6342,573,0.000184,0.0003166
E2E-WTQ,gpt-oss-20b,10,0.7740444444444444,4218,306,0.00011496,0.7275666666666667,4349,396,0.00012658,0.00014851860358291226,0.00017397718422137719,0.00016124789390214474,0.6527,12495,584,0.000308,0.0004723
E2E-WTQ,gpt-oss-20b,20,0.7573222222222222,8109,343,0.00019648000000000002,0.7136222222222223,8336,460,0.00021272,0.00025944042606258896,0.0002980848877401675,0.00027876265690137824,0.6611,24305,685,0.000555,0.000839
E2E-WTQ,gpt-oss-20b,30,0.7554444444444445,11996,371,0.00027702,0.7061777777777779,12242,508,0.00029564,0.00036669804382997496,0.00041864812134180876,0.00039267308258589186,0.6736,35484,628,0.000772,0.0011467
E2E-WTQ,gpt-oss-20b,40,0.7266333333333334,15859,255,0.00034268000000000005,0.6829555555555555,16213,322,0.00035646,0.000471599614661223,0.0005219373312074969,0.0004967684729343599,0.6695,46657,388,0.000972,0.0014517
E2E-WTQ,gpt-oss-20b,50,0.7308333333333333,19749,213,0.00041628,0.6778222222222222,20165,253,0.0004286,0.0005695963511972633,0.0006323191921841191,0.0006009577716906912,0.6653,56958,190,0.001158,0.0017408
E2E-WTQ,qwen3-32b,1,0.8089333333333334,759,543,0.00054048,0.8089333333333334,759,543,0.00054048,0.0006681391132355364,0.0006681391132355364,0.0006681391132355364,0.4686,1342,865,0.0009,0.0019202
E2E-WTQ,qwen3-32b,5,0.8014888888888888,2479,616,0.00108235,0.7763777777777777,2513,765,0.00118012,0.0013504242104971304,0.0015200332026218623,0.0014352287065594964,0.6318,7257,1025,0.002709,0.0042878
