dataset,model,negative,question_type,error_type,count,percentage (%)
e2ewtq,qwen3-32b,hard,Lookup,Distractor Extraction,99,51.295337
e2ewtq,qwen3-32b,hard,Lookup,Premature Refusal,2,1.036269
e2ewtq,qwen3-32b,hard,Lookup,Reasoning Hallucination,10,5.181347
e2ewtq,qwen3-32b,hard,Comparison,Distractor Extraction,67,34.715026
e2ewtq,qwen3-32b,hard,Comparison,Premature Refusal,2,1.036269
e2ewtq,qwen3-32b,hard,Comparison,Reasoning Hallucination,10,5.181347
e2ewtq,qwen3-32b,hard,Aggregation,Distractor Extraction,3,1.554404
e2ewtq,qwen3-32b,hard,Aggregation,Premature Refusal,0,0.0
e2ewtq,qwen3-32b,hard,Aggregation,Reasoning Hallucination,0,0.0
e2ewtq,qwen3-32b,soft,Lookup,Distractor Extraction,46,52.873563
e2ewtq,qwen3-32b,soft,Lookup,Premature Refusal,4,4.597701
e2ewtq,qwen3-32b,soft,Lookup,Reasoning Hallucination,2,2.298851
e2ewtq,qwen3-32b,soft,Comparison,Distractor Extraction,30,34.482759
e2ewtq,qwen3-32b,soft,Comparison,Premature Refusal,0,0.0
e2ewtq,qwen3-32b,soft,Comparison,Reasoning Hallucination,2,2.298851
e2ewtq,qwen3-32b,soft,Aggregation,Distractor Extraction,3,3.448276
e2ewtq,qwen3-32b,soft,Aggregation,Premature Refusal,0,0.0
e2ewtq,qwen3-32b,soft,Aggregation,Reasoning Hallucination,0,0.0
e2ewtq,gpt-oss-20b,hard,Lookup,Distractor Extraction,112,50.224215
e2ewtq,gpt-oss-20b,hard,Lookup,Premature Refusal,1,0.44843
e2ewtq,gpt-oss-20b,hard,Lookup,Reasoning Hallucination,11,4.932735
e2ewtq,gpt-oss-20b,hard,Comparison,Distractor Extraction,71,31.838565
e2ewtq,gpt-oss-20b,hard,Comparison,Premature Refusal,0,0.0
e2ewtq,gpt-oss-20b,hard,Comparison,Reasoning Hallucination,14,6.278027
e2ewtq,gpt-oss-20b,hard,Aggregation,Distractor Extraction,11,4.932735
e2ewtq,gpt-oss-20b,hard,Aggregation,Premature Refusal,0,0.0
e2ewtq,gpt-oss-20b,hard,Aggregation,Reasoning Hallucination,3,1.345291
e2ewtq,gpt-oss-20b,soft,Lookup,Distractor Extraction,50,50.505051
e2ewtq,gpt-oss-20b,soft,Lookup,Premature Refusal,0,0.0
e2ewtq,gpt-oss-20b,soft,Lookup,Reasoning Hallucination,14,14.141414
e2ewtq,gpt-oss-20b,soft,Comparison,Distractor Extraction,24,24.242424
e2ewtq,gpt-oss-20b,soft,Comparison,Premature Refusal,0,0.0
