dataset,reader,K,rotation,negative_type,source_filename,canonical_slice_identifier,case_count,DE_count,PR_count,RH_count,source_sha256
e2ewtq,claude-haiku-4-5,10,end,hard,claude-haiku-4-5_K10_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K10_hard_perfect_to_fail_errors,65,64,0,1,8332c338c966508ab1f57626cdcc7083ae7fa7dcf12b41588431ba7371bf8128
e2ewtq,claude-haiku-4-5,10,end,soft,claude-haiku-4-5_K10_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K10_soft_perfect_to_fail_errors,24,23,0,1,7853119688948b418d0f84741ce498fbb527f00dce517ab57fcd5d2859f1b045
e2ewtq,claude-haiku-4-5,50,end,hard,claude-haiku-4-5_K50_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K50_hard_perfect_to_fail_errors,83,83,0,0,e1b6ed878640e7f4ca8c4bd879cdd74774339700ca7a17ee0d0e79a97428b287
e2ewtq,claude-haiku-4-5,50,end,soft,claude-haiku-4-5_K50_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K50_soft_perfect_to_fail_errors,43,43,0,0,bd08de10a840c459474dee00a40da18d8abd841cb428030d36d557ffc356014f
e2ewtq,claude-haiku-4-5,5,end,hard,claude-haiku-4-5_K5_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K5_hard_perfect_to_fail_errors,43,39,1,3,eee608967b71defc7ed31d72db460448d956459f0f25d1537183cd39d7de90e8
e2ewtq,claude-haiku-4-5,5,end,soft,claude-haiku-4-5_K5_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K5_soft_perfect_to_fail_errors,21,17,3,1,cc9daee2bfbfc1512782c2f711d5157652d80caf43c91a2668a6546cd4554a7a
e2ewtq,gpt-4o,10,end,hard,gpt-4o_K10_hard_perfect_to_fail_errors.json,gpt-4o_K10_hard_perfect_to_fail_errors,44,43,0,1,d8bdf13916faf9ee563d9ab60fc9d085bba1d961525b2741633bf8f808519584
e2ewtq,gpt-4o,10,end,soft,gpt-4o_K10_soft_perfect_to_fail_errors.json,gpt-4o_K10_soft_perfect_to_fail_errors,13,12,0,1,47408ffef8eef831adb7eda5df2610c0bd3b81b876a8e154886041e438b73401
e2ewtq,gpt-4o,50,end,hard,gpt-4o_K50_hard_perfect_to_fail_errors.json,gpt-4o_K50_hard_perfect_to_fail_errors,65,65,0,0,bd747dff4e38da3aff4b3c66930255866c34fefd23cddfb33a8196617d471c12
e2ewtq,gpt-4o,50,end,soft,gpt-4o_K50_soft_perfect_to_fail_errors.json,gpt-4o_K50_soft_perfect_to_fail_errors,28,28,0,0,883f43cb49b8766bed7aad90c54952fe72dd1ddf560e576f4f493d30ed234e6f
e2ewtq,gpt-4o,5,end,hard,gpt-4o_K5_hard_perfect_to_fail_errors.json,gpt-4o_K5_hard_perfect_to_fail_errors,30,24,1,5,22411fc45a5bca918c8d685b0e71f5603cde2b36cf99ac898ef06c6bfffbe06f
e2ewtq,gpt-4o,5,end,soft,gpt-4o_K5_soft_perfect_to_fail_errors.json,gpt-4o_K5_soft_perfect_to_fail_errors,13,10,1,2,0e377d33ade6794fa78eb8a82dc2443d85d9288b9f16618ab5043e9e99a4a990
e2ewtq,gpt-oss-20b,10,end,hard,gpt-oss-20b_K10_hard_perfect_to_fail_errors.json,gpt-oss-20b_K10_hard_perfect_to_fail_errors,63,60,0,3,27617903f61999ffd97b2f88697ddf66a7fa66416c6127e53987d0393f7c56ea
e2ewtq,gpt-oss-20b,10,end,soft,gpt-oss-20b_K10_soft_perfect_to_fail_errors.json,gpt-oss-20b_K10_soft_perfect_to_fail_errors,22,16,0,6,1d604119fb8abd20208e4d69c16cba94bb6bb5445326e66b95149656091101fc
e2ewtq,gpt-oss-20b,50,end,hard,gpt-oss-20b_K50_hard_perfect_to_fail_errors.json,gpt-oss-20b_K50_hard_perfect_to_fail_errors,98,97,0,1,8543582910f1883fc0d874555bcc2647d8b7b77540a042a1bbc20b5ec41d461d
e2ewtq,gpt-oss-20b,50,end,soft,gpt-oss-20b_K50_soft_perfect_to_fail_errors.json,gpt-oss-20b_K50_soft_perfect_to_fail_errors,60,50,0,10,88b6d5402da6315137e862560cf446c515f2990120f354ca032f5f0118b29dde
e2ewtq,gpt-oss-20b,5,end,hard,gpt-oss-20b_K5_hard_perfect_to_fail_errors.json,gpt-oss-20b_K5_hard_perfect_to_fail_errors,62,37,1,24,3fc411a84152652a850185d43e0f9a3311558dd2d3d2d8e2bcfb2dd135320de4
e2ewtq,gpt-oss-20b,5,end,soft,gpt-oss-20b_K5_soft_perfect_to_fail_errors.json,gpt-oss-20b_K5_soft_perfect_to_fail_errors,17,8,0,9,acdc091e34e093292a5be84042e8362947684ceb3179922d0f382466cfba9c3e
e2ewtq,qwen3-32b,10,end,hard,qwen3-32b_K10_hard_perfect_to_fail_errors.json,qwen3-32b_K10_hard_perfect_to_fail_errors,45,37,1,7,22a6d697a36a9781ed1c209d0efe238cb558c1919a4e8c8c2196b07d76c5430c
e2ewtq,qwen3-32b,10,end,soft,qwen3-32b_K10_soft_perfect_to_fail_errors.json,qwen3-32b_K10_soft_perfect_to_fail_errors,19,17,0,2,5f715ab8769ab35c394866348b34d4094676a1dd4160532dddad7489594944af
e2ewtq,qwen3-32b,50,end,hard,qwen3-32b_K50_hard_perfect_to_fail_errors.json,qwen3-32b_K50_hard_perfect_to_fail_errors,104,103,0,1,5659b6c95d3b7462785b39c9a08b99ba813637a5eec4f2714cccbae675cf1eb3
e2ewtq,qwen3-32b,50,end,soft,qwen3-32b_K50_soft_perfect_to_fail_errors.json,qwen3-32b_K50_soft_perfect_to_fail_errors,52,52,0,0,78688c784b5971403eedbb7dc15c1f8a947d0cf0fd0732c1498c83629d6d0f9e
e2ewtq,qwen3-32b,5,end,hard,qwen3-32b_K5_hard_perfect_to_fail_errors.json,qwen3-32b_K5_hard_perfect_to_fail_errors,44,29,3,12,6c32d03f59dc4f37a518915651cba80185df522c248e731ac5343e9ae5133e53
e2ewtq,qwen3-32b,5,end,soft,qwen3-32b_K5_soft_perfect_to_fail_errors.json,qwen3-32b_K5_soft_perfect_to_fail_errors,16,10,4,2,8c9602c203012c68dc8fd7c7e56a3f5fed8de4a1f3857a4aeda628c4c75ae82c
feta,claude-haiku-4-5,10,end,hard,claude-haiku-4-5_K10_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K10_hard_perfect_to_fail_errors,1389,1221,131,37,9b0c8a6410a793ce77ec7606e5713efc16cc18a4a07e42cbac7f0710d7763059
