dataset,run,reader,K,rotation,negative_type,request_tokens_total,request_tokens_mean,response_tokens_total,response_tokens_mean
e2ewtq,1st,claude-haiku-4-5,1,perfect,perfect,259239,1084.68,21044,88.05
e2ewtq,1st,claude-haiku-4-5,5,end,hard,390800,1635.15,21866,91.49
e2ewtq,1st,claude-haiku-4-5,5,end,soft,357097,1494.13,21948,91.83
e2ewtq,1st,claude-haiku-4-5,5,middle,hard,390800,1635.15,22027,92.16
e2ewtq,1st,claude-haiku-4-5,5,middle,soft,357097,1494.13,21628,90.49
e2ewtq,1st,claude-haiku-4-5,5,start,hard,390800,1635.15,20999,87.86
e2ewtq,1st,claude-haiku-4-5,5,start,soft,357097,1494.13,22109,92.51
e2ewtq,1st,claude-haiku-4-5,10,end,hard,506534,2119.39,21777,91.12
e2ewtq,1st,claude-haiku-4-5,10,end,soft,462237,1934.05,21803,91.23
e2ewtq,1st,claude-haiku-4-5,10,middle,hard,506534,2119.39,23427,98.02
e2ewtq,1st,claude-haiku-4-5,10,middle,soft,462237,1934.05,21630,90.50
e2ewtq,1st,claude-haiku-4-5,10,start,hard,506534,2119.39,22816,95.46
e2ewtq,1st,claude-haiku-4-5,10,start,soft,462237,1934.05,22256,93.12
e2ewtq,1st,claude-haiku-4-5,20,end,hard,752541,3148.71,23759,99.41
e2ewtq,1st,claude-haiku-4-5,20,end,soft,693016,2899.65,22422,93.82
e2ewtq,1st,claude-haiku-4-5,20,middle,hard,752541,3148.71,24790,103.72
e2ewtq,1st,claude-haiku-4-5,20,middle,soft,693016,2899.65,22835,95.54
e2ewtq,1st,claude-haiku-4-5,20,start,hard,752541,3148.71,25008,104.64
e2ewtq,1st,claude-haiku-4-5,20,start,soft,693016,2899.65,23029,96.36
e2ewtq,1st,claude-haiku-4-5,30,end,hard,963848,4032.84,24968,104.47
e2ewtq,1st,claude-haiku-4-5,30,end,soft,929386,3888.64,23142,96.83
e2ewtq,1st,claude-haiku-4-5,30,middle,hard,963848,4032.84,26399,110.46
e2ewtq,1st,claude-haiku-4-5,30,middle,soft,929386,3888.64,23570,98.62
e2ewtq,1st,claude-haiku-4-5,30,start,hard,963848,4032.84,25329,105.98
e2ewtq,1st,claude-haiku-4-5,30,start,soft,929386,3888.64,24015,100.48
e2ewtq,1st,claude-haiku-4-5,40,end,hard,1236374,5173.11,25325,105.96
e2ewtq,1st,claude-haiku-4-5,40,end,soft,1148640,4806.03,23746,99.36
e2ewtq,1st,claude-haiku-4-5,40,middle,hard,1236374,5173.11,25934,108.51
e2ewtq,1st,claude-haiku-4-5,40,middle,soft,1148640,4806.03,25280,105.77
e2ewtq,1st,claude-haiku-4-5,40,start,hard,1236374,5173.11,26079,109.12
e2ewtq,1st,claude-haiku-4-5,40,start,soft,1148640,4806.03,24066,100.69
e2ewtq,1st,claude-haiku-4-5,50,end,hard,1488780,6229.21,26531,111.01
e2ewtq,1st,claude-haiku-4-5,50,end,soft,1395373,5838.38,24444,102.28
e2ewtq,1st,claude-haiku-4-5,50,middle,hard,1488780,6229.21,26928,112.67
e2ewtq,1st,claude-haiku-4-5,50,middle,soft,1395373,5838.38,26554,111.10
e2ewtq,1st,claude-haiku-4-5,50,start,hard,1488780,6229.21,26808,112.17
e2ewtq,1st,claude-haiku-4-5,50,start,soft,1395373,5838.38,25088,104.97
e2ewtq,1st,gpt-4o,1,perfect,perfect,213285,892.41,8443,35.33
e2ewtq,1st,gpt-4o,5,end,hard,321134,1343.66,10695,44.75
e2ewtq,1st,gpt-4o,5,end,soft,292958,1225.77,9226,38.60
e2ewtq,1st,gpt-4o,5,middle,hard,321134,1343.66,10900,45.61
e2ewtq,1st,gpt-4o,5,middle,soft,292958,1225.77,9841,41.18
e2ewtq,1st,gpt-4o,5,start,hard,321134,1343.66,10481,43.85
e2ewtq,1st,gpt-4o,5,start,soft,292958,1225.77,8952,37.46
e2ewtq,1st,gpt-4o,10,end,hard,415121,1736.91,11236,47.01
e2ewtq,1st,gpt-4o,10,end,soft,377106,1577.85,9986,41.78
e2ewtq,1st,gpt-4o,10,middle,hard,415121,1736.91,12426,51.99
e2ewtq,1st,gpt-4o,10,middle,soft,377106,1577.85,10540,44.10
e2ewtq,1st,gpt-4o,10,start,hard,415121,1736.91,10963,45.87
e2ewtq,1st,gpt-4o,10,start,soft,377106,1577.85,9632,40.30
e2ewtq,1st,gpt-4o,20,end,hard,616444,2579.26,11246,47.05
e2ewtq,1st,gpt-4o,20,end,soft,566808,2371.58,10364,43.36
e2ewtq,1st,gpt-4o,20,middle,hard,616444,2579.26,12302,51.47
e2ewtq,1st,gpt-4o,20,middle,soft,566808,2371.58,9794,40.98
e2ewtq,1st,gpt-4o,20,start,hard,616444,2579.26,13164,55.08
e2ewtq,1st,gpt-4o,20,start,soft,566808,2371.58,10715,44.83
e2ewtq,1st,gpt-4o,30,end,hard,787834,3296.38,12622,52.81
e2ewtq,1st,gpt-4o,30,end,soft,758939,3175.48,10835,45.33
e2ewtq,1st,gpt-4o,30,middle,hard,787834,3296.38,14818,62.00
e2ewtq,1st,gpt-4o,30,middle,soft,758939,3175.48,10361,43.35
e2ewtq,1st,gpt-4o,30,start,hard,787834,3296.38,12550,52.51
e2ewtq,1st,gpt-4o,30,start,soft,758939,3175.48,11772,49.26
e2ewtq,1st,gpt-4o,40,end,hard,1013025,4238.60,12178,50.95
e2ewtq,1st,gpt-4o,40,end,soft,937899,3924.26,11117,46.51
e2ewtq,1st,gpt-4o,40,middle,hard,1013025,4238.60,13810,57.78
e2ewtq,1st,gpt-4o,40,middle,soft,937899,3924.26,11637,48.69
e2ewtq,1st,gpt-4o,40,start,hard,1013025,4238.60,13855,57.97
e2ewtq,1st,gpt-4o,40,start,soft,937899,3924.26,10920,45.69
e2ewtq,1st,gpt-4o,50,end,hard,1220666,5107.39,12746,53.33
e2ewtq,1st,gpt-4o,50,end,soft,1138503,4763.61,10255,42.91
e2ewtq,1st,gpt-4o,50,middle,hard,1220666,5107.39,13581,56.82
e2ewtq,1st,gpt-4o,50,middle,soft,1138503,4763.61,13785,57.68
e2ewtq,1st,gpt-4o,50,start,hard,1220666,5107.39,14056,58.81
e2ewtq,1st,gpt-4o,50,start,soft,1138503,4763.61,11325,47.38
e2ewtq,1st,gpt-oss-20b,1,perfect,perfect,154353,645.83,4847,20.28
e2ewtq,1st,gpt-oss-20b,5,end,hard,334688,1400.37,58531,244.90
e2ewtq,1st,gpt-oss-20b,5,end,soft,308054,1288.93,59694,249.77
e2ewtq,1st,gpt-oss-20b,5,middle,hard,332446,1390.99,62553,261.73
e2ewtq,1st,gpt-oss-20b,5,middle,soft,308054,1288.93,57283,239.68
e2ewtq,1st,gpt-oss-20b,5,start,hard,240355,1005.67,5361,22.43
e2ewtq,1st,gpt-oss-20b,5,start,soft,213731,894.27,4646,19.44
e2ewtq,1st,gpt-oss-20b,10,end,hard,429906,1798.77,63212,264.49
e2ewtq,1st,gpt-oss-20b,10,end,soft,391879,1639.66,62934,263.32
e2ewtq,1st,gpt-oss-20b,10,middle,hard,426626,1785.05,63001,263.60
e2ewtq,1st,gpt-oss-20b,10,middle,soft,391924,1639.85,55092,230.51
e2ewtq,1st,gpt-oss-20b,10,start,hard,424657,1776.81,71838,300.58
e2ewtq,1st,gpt-oss-20b,10,start,soft,391952,1639.97,54746,229.06
e2ewtq,1st,gpt-oss-20b,20,end,hard,627914,2627.26,71840,300.59
e2ewtq,1st,gpt-oss-20b,20,end,soft,578081,2418.75,61443,257.08
e2ewtq,1st,gpt-oss-20b,20,middle,hard,627789,2626.73,77636,324.84
e2ewtq,1st,gpt-oss-20b,20,middle,soft,578323,2419.76,68619,287.11
e2ewtq,1st,gpt-oss-20b,20,start,hard,627879,2627.11,66227,277.10
e2ewtq,1st,gpt-oss-20b,20,start,soft,578186,2419.19,62171,260.13
e2ewtq,1st,gpt-oss-20b,30,end,hard,799126,3343.62,78971,330.42
e2ewtq,1st,gpt-oss-20b,30,end,soft,770186,3222.54,66883,279.85
e2ewtq,1st,gpt-oss-20b,30,middle,hard,799107,3343.54,86581,362.26
e2ewtq,1st,gpt-oss-20b,30,middle,soft,770184,3222.53,67780,283.60
e2ewtq,1st,gpt-oss-20b,30,start,hard,799062,3343.36,74429,311.42
e2ewtq,1st,gpt-oss-20b,30,start,soft,770289,3222.97,64454,269.68
e2ewtq,1st,gpt-oss-20b,40,end,hard,1024258,4285.60,91781,384.02
e2ewtq,1st,gpt-oss-20b,40,end,soft,949132,3971.26,62955,263.41
e2ewtq,1st,gpt-oss-20b,40,middle,hard,1024273,4285.66,87517,366.18
e2ewtq,1st,gpt-oss-20b,40,middle,soft,949114,3971.19,71189,297.86
e2ewtq,1st,gpt-oss-20b,40,start,hard,1024700,4287.45,75381,315.40
e2ewtq,1st,gpt-oss-20b,40,start,soft,949237,3971.70,68543,286.79
e2ewtq,1st,gpt-oss-20b,50,end,hard,1231899,5154.39,86069,360.12
e2ewtq,1st,gpt-oss-20b,50,end,soft,1149736,4810.61,70290,294.10
e2ewtq,1st,gpt-oss-20b,50,middle,hard,1231899,5154.39,82437,344.92
e2ewtq,1st,gpt-oss-20b,50,middle,soft,1149736,4810.61,66766,279.36
e2ewtq,1st,gpt-oss-20b,50,start,hard,1231915,5154.46,71543,299.34
e2ewtq,1st,gpt-oss-20b,50,start,soft,1149736,4810.61,63174,264.33
e2ewtq,1st,qwen3-32b,1,perfect,perfect,232134,971.27,133040,556.65
e2ewtq,1st,qwen3-32b,5,end,hard,328094,1372.78,158395,662.74
e2ewtq,1st,qwen3-32b,5,end,soft,318905,1334.33,155998,652.71
e2ewtq,1st,qwen3-32b,5,middle,hard,328094,1372.78,152931,639.88
e2ewtq,1st,qwen3-32b,5,middle,soft,318905,1334.33,143361,599.84
e2ewtq,1st,qwen3-32b,5,start,hard,328094,1372.78,151636,634.46
e2ewtq,1st,qwen3-32b,5,start,soft,318905,1334.33,136410,570.75
e2ewtq,1st,qwen3-32b,10,end,hard,417068,1745.05,169502,709.21
e2ewtq,1st,qwen3-32b,10,end,soft,394344,1649.97,158853,664.66
e2ewtq,1st,qwen3-32b,10,middle,hard,417068,1745.05,170625,713.91
e2ewtq,1st,qwen3-32b,10,middle,soft,394344,1649.97,153351,641.64
e2ewtq,1st,qwen3-32b,10,start,hard,417068,1745.05,165739,693.47
e2ewtq,1st,qwen3-32b,10,start,soft,394344,1649.97,168454,704.83
e2ewtq,1st,qwen3-32b,20,end,hard,565147,2364.63,189250,791.84
e2ewtq,1st,qwen3-32b,20,end,soft,550321,2302.60,171037,715.64
e2ewtq,1st,qwen3-32b,20,middle,hard,565147,2364.63,199682,835.49
e2ewtq,1st,qwen3-32b,20,middle,soft,550321,2302.60,167045,698.93
e2ewtq,1st,qwen3-32b,20,start,hard,565147,2364.63,194768,814.93
e2ewtq,1st,qwen3-32b,20,start,soft,550321,2302.60,168563,705.28
e2ewtq,1st,qwen3-32b,30,end,hard,676624,2831.06,229411,959.88
e2ewtq,1st,qwen3-32b,30,end,soft,693429,2901.38,182204,762.36
e2ewtq,1st,qwen3-32b,30,middle,hard,676624,2831.06,229917,962.00
e2ewtq,1st,qwen3-32b,30,middle,soft,693429,2901.38,178322,746.12
e2ewtq,1st,qwen3-32b,30,start,hard,676624,2831.06,216097,904.17
e2ewtq,1st,qwen3-32b,30,start,soft,693429,2901.38,182428,763.30
e2ewtq,1st,qwen3-32b,40,end,hard,782961,3275.99,245805,1028.47
